features,score
hash-3265,1.0
hash-6352,1.0
hash-8121,1.0
hash-8534,1.0
hash-3026,1.0
hash-5526,1.0
hash-3232,1.0
hash-8172,1.0
hash-2358,1.0
hash-4758,1.0
hash-524,1.0
hash-1348,1.0
hash-6234,1.0
hash-1130,1.0
hash-5400,1.0
hash-3840,1.0
hash-2905,1.0
hash-5794,1.0
hash-8802,1.0
hash-1331,1.0
hash-5157,1.0
hash-2894,1.0
hash-8304,1.0
hash-2711,1.0
hash-4160,1.0
hash-3295,1.0
hash-1981,1.0
hash-3892,1.0
hash-5553,1.0
hash-8823,1.0
hash-6244,1.0
hash-4605,1.0
hash-4567,1.0
hash-3683,1.0
hash-5973,1.0
hash-4944,1.0
hash-2377,1.0
hash-2779,1.0
hash-9862,1.0
hash-3290,1.0
hash-1776,1.0
hash-7660,1.0
hash-9045,1.0
hash-5774,1.0
hash-5998,1.0
hash-4825,1.0
hash-2257,1.0
hash-9331,1.0
hash-5614,1.0
hash-4503,1.0
hash-2575,1.0
hash-9262,1.0
hash-8042,1.0
hash-4314,1.0
hash-5235,1.0
hash-5869,1.0
hash-6722,1.0
hash-5669,1.0
hash-639,1.0
hash-1257,1.0
hash-7592,1.0
hash-1426,1.0
hash-6862,1.0
hash-1102,1.0
hash-4473,1.0
hash-1062,1.0
hash-6226,1.0
hash-4610,1.0
hash-8886,1.0
hash-2520,1.0
hash-8412,1.0
hash-418,1.0
hash-267,1.0
hash-6960,1.0
hash-5983,1.0
hash-1542,1.0
hash-2831,1.0
hash-8908,1.0
hash-8237,1.0
hash-1493,1.0
hash-6203,1.0
hash-4250,1.0
hash-8990,1.0
hash-7125,1.0
hash-3849,1.0
hash-1145,1.0
hash-4103,1.0
hash-8960,1.0
hash-718,1.0
hash-9531,1.0
hash-8415,1.0
hash-458,1.0
hash-3860,1.0
hash-8767,1.0
hash-7429,1.0
hash-499,1.0
hash-9452,1.0
hash-6196,1.0
hash-5718,1.0
hash-9883,1.0
hash-1316,1.0
hash-3074,1.0
hash-8417,1.0
hash-9260,1.0
hash-6583,1.0
hash-4340,1.0
hash-3852,1.0
hash-7975,1.0
hash-2158,1.0
hash-4087,1.0
hash-2581,1.0
hash-9911,1.0
hash-2910,1.0
hash-8758,1.0
hash-4525,1.0
hash-3092,1.0
hash-2423,1.0
hash-1735,1.0
hash-8229,1.0
hash-7437,1.0
hash-6183,1.0
hash-3336,1.0
hash-3173,1.0
hash-869,1.0
hash-5570,1.0
hash-3857,1.0
hash-4974,1.0
hash-7678,1.0
hash-1620,1.0
hash-1660,1.0
hash-8734,1.0
hash-1058,1.0
hash-5959,1.0
hash-171,1.0
hash-9507,1.0
hash-5392,1.0
hash-4124,1.0
hash-3787,1.0
hash-9110,1.0
hash-9750,1.0
hash-641,1.0
hash-3277,1.0
hash-9406,1.0
hash-5679,1.0
hash-4724,1.0
hash-5027,1.0
hash-4032,1.0
hash-4301,1.0
